## -------------------------------------------------------------------------- ##
##
## THIS IS THE DATA FILE
## 
## This file contains data and quantities used to condition the model
##
## The main directory for recent data for each new year is:
## S:\Region1Shared-DCF\Research\Herring-Dive Fisheries\Herring\Year [year] Forecasts
## 
## A: total annual catch entries are to be presented in US short tons;
##    (these will be converted in-model to metric tons)
##
## B: weights-at-age are to be presented in grams
##
## C: catch-composition and spawner-composition are proportions;
##    (these should sum to 1 for each year)
##
## D: egg-deposition presented in trillions
##
## E: total annual catch should be presented to two decimal places (where possible);
##    constrain other entries to four decimal places
##
## F: *missing* data should be entered as '-9', not '0'
##
## G: use '#' as comment character for this file
##
## -------------------------------------------------------------------------- ##

## -------------------------------------------------------------------------- ##
## MODEL DIMENSIONS (Let the data define the model dimensions)
## -------------------------------------------------------------------------- ##
#- First year of data (dat_syr)
	1971
#- Last year of data (dat_nyr)
	2015
#- First year for model (mod_syr)
	1980
#- Last year for model (mod_nyr)
	2015
#- Youngest age class in model (sage)
	3
#- Plus group age class in the model (nage)
	8
## -------------------------------------------------------------------------- ##

## -------------------------------------------------------------------------- ##
## FECUNDITY REGRESSION COEFFICIENTS
## -------------------------------------------------------------------------- ##
#- Number of Fecundity blocks
	4
#- terminal block year for change in Fecundity
	1984	1998	2002 	2015
#- Slope of the regression line
	195.314028 222.55 226.1260221 198.78295
#- Intercept of regression line
	1840.107419 2503.9 3383.01566 3031.97919

## -------------------------------------------------------------------------- ##
## TOTAL ANNUAL CATCH (SHORT TONS)
## -------------------------------------------------------------------------- ##
#Year  Catch.ton  log.se
 2002 80.58400 114.96400 135.63000 159.2790 177.4620 193.8510
 2003 90.94400 110.39400 140.10600 158.5010 180.2560 184.1510
 2004 84.06400 112.28500 126.71500 153.7420 170.8960 194.6330
 2005 90.60900 112.61400 135.48200 145.5560 163.2960 193.5620
 2006 91.90300 112.17200 125.49600 155.0800 158.8760 185.0810
 2007 86.42700 120.79300 142.61100 161.2270 176.5910 194.7930
 2008 79.72550 122.79500 147.91400 166.1270 181.6260 205.2600
 2009 73.02400 124.79700 153.21700 171.0270 186.6610 215.7270
 2010 78.36386 101.73333 144.11032 165.4989 187.9154 209.3099
 2011 86.81400 115.61100 133.60400 163.8530 181.9530 207.3730
 2012 79.95700 106.48400 125.48200 141.2200 163.4540 178.7140
 2013 78.86275 117.52308 148.71714 176.4162 195.0614 210.7044
 2014 70.96667 109.37485 151.12857 174.4977 191.5486 216.9393
 2015 79.97140 104.92220 129.17220 157.2537 170.1320 198.0637

## -------------------------------------------------------------------------- ##
## - commercial catch weight-at-age  (obs_c_waa) matrix(1,dyrs,1,nages)       ##
## - ~\AWL\AWL Datasets and Summaries.xlsx   - TABLE 5                        ##
##                                                                            ##
## -------------------------------------------------------------------------- ##
#Year Commercial catch Weight-at-age 3-8+ (units = grams)
 1971 85.00000 113.00000 131.00000 137.0000 155.0000 170.0000
 1972 85.00000 110.00000 128.00000 153.0000 154.0000 177.0000
 1973 67.00000  85.60000 108.60000 137.2000 172.0000 186.0000
 1974 67.00000 102.00000 119.00000 153.0000 166.0000 190.0000
 1975 76.00000  85.00000 114.00000 121.0000 129.0000 153.0000
 1976 73.00000 100.00000 116.00000 129.0000 137.0000 160.0000
 1977 83.00000 106.00000 134.00000 146.0000 156.0000 158.0000
 1978 85.00000 109.00000 130.00000 164.0000 177.0000 194.0000
 1979 70.00000  84.00000  97.00000 116.0000 131.0000 161.0000
 1980 65.00000  84.00000  97.00000 116.0000 153.0000 169.0000
 1981 56.00000  90.00000 121.00000 131.0000 136.0000 174.5000
 1982 75.00000  87.00000 114.00000 128.0000 149.0000 174.5000
 1983 88.00000 113.00000 121.00000 145.0000 163.0000 180.0000
 1984 74.00000 100.00000 131.00000 159.0000 173.0000 182.0000
 1985 64.00000  97.00000 121.00000 154.0000 183.0000 183.0000
 1986 80.00000  94.00000 121.00000 139.0000 177.0000 185.0000
 1987 67.00000  88.00000 108.00000 134.0000 152.0000 177.0000
 1988 65.00000  77.00000  99.00000 122.0000 140.0000 163.0000
 1989 54.00000  67.00000  87.00000 114.0000 129.0000 160.0000
 1990 74.00000  86.00000 105.00000 113.0000 127.0000 158.0000
 1991 58.00000  72.00000 101.00000 111.5000 122.0000 137.0000
 1992 69.00000  83.00000  95.00000 106.8000 118.5000 144.0000
 1993 64.40000  80.75000  93.90725 101.1429 115.0000 136.8182
 1994 69.25000  87.77778 115.46809 127.9603 137.6000 151.3333
 1995 99.96154 106.03704 129.86667 156.5909 164.8591 176.2143
 1996 77.52669 102.63732 117.82857 141.2222 157.1852 165.9074
 1997 98.97563 120.85670 155.01419 169.6176 193.1222 201.1551
 1998 85.22759 114.40884 123.59487 152.7930 162.3364 185.2618
 1999 94.00000 106.97590 127.62941 141.6250 163.1364 179.3889
 2000 82.33136 106.30435 128.81545 152.8874 163.7879 180.3750
 2001 89.03200 114.01800 136.13300 157.0880 165.4640 173.6870
 2002 80.58400 114.96400 135.63000 159.2790 177.4620 193.8510
 2003 90.94400 110.39400 140.10600 158.5010 180.2560 184.1510
 2004 84.06400 112.28500 126.71500 153.7420 170.8960 194.6330
 2005 90.60900 112.61400 135.48200 145.5560 163.2960 193.5620
 2006 91.90300 112.17200 125.49600 155.0800 158.8760 185.0810
 2007 86.42700 120.79300 142.61100 161.2270 176.5910 194.7930
 2008 79.72550 122.79500 147.91400 166.1270 181.6260 205.2600
 2009 73.02400 124.79700 153.21700 171.0270 186.6610 215.7270
 2010 78.36386 101.73333 144.11032 165.4989 187.9154 209.3099
 2011 86.81400 115.61100 133.60400 163.8530 181.9530 207.3730
 2012 79.95700 106.48400 125.48200 141.2200 163.4540 178.7140
 2013 78.86275 117.52308 148.71714 176.4162 195.0614 210.7044
 2014 70.96667 109.37485 151.12857 174.4977 191.5486 216.9393
 2015 79.97140 104.92220 129.17220 157.2537 170.1320 198.0637

## -------------------------------------------------------------------------- ##
## - commercial catch composition  (obs_c_comp) matrix(1,dyrs,1,nages)              ##
## - ~\AWL\AWL Datasets and Summaries.xlsx   - TABLE 1                        ##
## -------------------------------------------------------------------------- ##
#Year  Commercial Age Composition (-9 is missing data)
 1971  0.070000000  0.21000000  0.31000000  0.10000000  0.170000000  0.140000000
 1972  0.061993517  0.30510535  0.18354943  0.20380875  0.072123177  0.173419773
 1973  0.833033041  0.06479978  0.06660153  0.01641882  0.012764554  0.006382277
 1974  0.030303030  0.72727273  0.10101010  0.07070707  0.030303030  0.040404040
 1975  0.110000000  0.09000000  0.54000000  0.17000000  0.070000000  0.020000000
 1976  0.020202020  0.17171717  0.16161616  0.51515152  0.111111111  0.020202020
 1977 -9.000000000 -9.00000000 -9.00000000 -9.00000000 -9.000000000 -9.000000000
 1978  0.590000000  0.28000000  0.07000000  0.02000000  0.010000000  0.030000000
 1979  0.624472789  0.31171769  0.04005102  0.01352041  0.003418367  0.006819728
 1980  0.160562276  0.69696461  0.12752016  0.01248880  0.002464158  0.000000000
 1981  0.000000000  0.08000000  0.72000000  0.18000000  0.020000000  0.000000000
 1982  0.193548387  0.03225807  0.13978495  0.47311828  0.161290323  0.000000000
 1983  0.390000000  0.06000000  0.02000000  0.08000000  0.410000000  0.040000000
 1984  0.148514851  0.66336634  0.06930693  0.06930693  0.039603960  0.009900990
 1985  0.010000000  0.16000000  0.63000000  0.10000000  0.050000000  0.050000000
 1986  0.060000000  0.04000000  0.31000000  0.53000000  0.050000000  0.010000000
 1987  0.535353535  0.17171717  0.04040404  0.10101010  0.141414141  0.010101010
 1988  0.020000000  0.85000000  0.06000000  0.03000000  0.030000000  0.010000000
 1989  0.030612245  0.24489796  0.67346939  0.03061224  0.020408163  0.000000000
 1990  0.009900990  0.00990099  0.14851485  0.75247525  0.059405941  0.019801980
 1991  0.722772277  0.02970297  0.00990099  0.02970297  0.198019802  0.009900990
 1992  0.020000000  0.86000000  0.03000000  0.01000000  0.010000000  0.070000000
